ETC_20150317_000001	Кепа
ETC_20151001_015587	1-й этап запрос начался!
ETC_20151001_015588	Старт 2-го этапа запроса!
ETC_20151001_015589	2-й этап запрос начался!
ETC_20151001_015590	Старт 3-го этапа запроса!
ETC_20151001_015591	3-й этап запрос начался!
ETC_20151001_015592	Старт 4-го этапа запроса!
ETC_20151001_015593	4-й этап запрос начался!
ETC_20151001_015594	Старт 5-го этапа запроса!
ETC_20151001_015595	5-й этап запрос начался!
ETC_20151001_015596	Старт 6-го этапа запроса!
ETC_20151001_015597	6-й этап запрос начался!{бл}когда повозки купцов разрушаются, запрос завершится с ошибкой
ETC_20151001_015598	Старт 7-го этапа запроса!
ETC_20151001_015599	7-й этап запрос начался!{бл}когда повозки купцов разрушаются, запрос завершится с ошибкой
ETC_20151001_015600	Запрос не удался, поскольку вы были не в состоянии защитить повозку!
ETC_20151001_015601	Возвращение Гиллиама, чтобы перейти к следующему этапу!
ETC_20151001_015602	Zinutekas Вызвать Камень
ETC_20151001_015603	{@st43}монстров, которых прет от алмазной шахте снова. Вам будет большим подспорьем.
ETC_20151001_015604	Победить босса!
ETC_20151001_015605	Выжить в течение 5 минут, как вы боретесь против добавил босс монстров!
ETC_20151001_015606	Снят 2-ой номер!
ETC_20151001_015607	Уничтожить монстра призвать камень в пределах 5 минут
ETC_20151001_015608	Победить последнего босса!
ETC_20151001_015609	Когда вы победите босса, или время истекает,{ея}финального босса появится
ETC_20151001_015610	Миссия провалена{ея}вы вернетесь к предыдущей зоны после 10 секунд
ETC_20151001_015611	Миссия Успех!{бл}вы вернетесь к предыдущей зоны после 1 минуты
ETC_20151001_015612	Вы вернетесь в зону в 30 секунд
ETC_20151001_015613	Когда Сова скульптура сияет,{ея}передавать питание для снижения времени!
ETC_20151001_015614	Вы вернетесь в зону в 10 секунд
ETC_20151001_015615	Победить всех слуг кольчугу!
ETC_20151001_015616	Победить всех слуг кольчугу!{бл}преследовать кольчугу!
ETC_20151001_015617	Победить всех слуг кольчугу!{бл}найти Kupole Сигита 
ETC_20151001_015618	Выследить демона Господь кольчугу, кто бежал через Zinuma проход!
ETC_20151001_015619	Wheelens подвергаются воздействию Denoptic!
ETC_20151001_015620	Bearkaras Подавитель
ETC_20151016_015621	Синий Sakmoli
ETC_20151016_015622	Красный Colifly
ETC_20151016_015623	Vine2
ETC_20151016_015624	Bellai Тропический Лес
ETC_20151016_015625	Сеир Тропический Лес
ETC_20151016_015626	Raimadon
ETC_20151016_015627	Braken Лес 63_1
ETC_20151016_015628	Braken Лес 63_2
ETC_20151016_015629	Braken Лес 63_3
ETC_20151016_015630	Braken Монастырь 64_1
ETC_20151016_015631	Braken Монастырь 64_2
ETC_20151016_015632	Braken Монастырь 64_3
ETC_20151016_015633	Отель castlefield 65_1
ETC_20151016_015634	Отель castlefield 65_2
ETC_20151016_015635	Отель castlefield 65_3
ETC_20151016_015636	FreeDungeon Дополнительных 2-1
ETC_20151016_015637	FreeDungeon Лишние 2-2
ETC_20151016_015638	FreeDungeon Дополнительных 3-1
ETC_20151016_015639	FreeDungeon Дополнительных 3-2
ETC_20151016_015640	FreeDungeon Дополнительных 4-1
ETC_20151016_015641	FreeDungeon Дополнительных 4-2
ETC_20151016_015642	Роза!
ETC_20151016_015643	Демон здесь!
ETC_20151016_015644	Тесс!
ETC_20151016_015645	Ты в порядке??
ETC_20151016_015646	А где все жители??
ETC_20151016_015647	Демон Господа Zaura убежал!
ETC_20151016_015648	Удерживающее Устройство
ETC_20151016_015649	Демон Господа Zaura
ETC_20151016_015650	Вы глупый человек...
ETC_20151016_015651	Не думаю, что это конец...
ETC_20151016_015652	Неизвестная сила блокирует его.
ETC_20151016_015653	Лицо в отношении Zaura, чтобы спасти богиню!
ETC_20151016_015654	Вы действительно хотите умереть, не так ли??
ETC_20151016_015655	Вы не можете получить рядом с Богинями!
ETC_20151016_015656	Я убью тебя здесь!
ETC_20151016_015657	Смотрящего исчез с Kruvina!
ETC_20151016_015658	Поражение пробужденный Zaura!
ETC_20151016_015659	Уходи
ETC_20151016_015660	Вы не должны идти после такого питания
ETC_20151016_015661	Но, я дам тебе силу Giltine допускается вместо
ETC_20151016_015662	Богослов... я буду за тобой следить...
ETC_20151016_015663	Нет!!
ETC_20151016_015664	Поскольку он получился такой, я уничтожу тебя с Kruvina!!
ETC_20151016_015665	Что случилось с надгробной плите??
ETC_20151016_015666	Ладно! Я еще вернусь!
ETC_20151016_015667	Властелин огня, который был раньше отель albinas
ETC_20151016_015668	Монстров, которые украли знак Nestospa атакуют снова!
ETC_20151016_015669	Тьфу! Они снова...!
ETC_20151016_015670	Что?! Демоны!
ETC_20151016_015671	Вот они!
ETC_20151016_015672	Вы проверить его с Моноклем.
ETC_20151016_015673	Уютный Лодж
ETC_20151016_015674	Kedoran Купеческий Альянс Благо
ETC_20151016_015675	Пр Примечание : Присоединяйтесь к Kedoran купеческий Альянс!{бл}выгоду эффект : временное увеличение атаки и магической атаки!
ETC_20151016_015676	Сонный Хорек
ETC_20151016_015677	Наблюдать
ETC_20151016_015678	Хорек был уже наблюдается.
ETC_20151016_015679	Превращается в хорька. Теперь вы можете соединиться с хорьками.
ETC_20151016_015680	Экстренное Лечение
ETC_20151016_015681	Можете не лечиться
ETC_20151016_015682	Зоны серверной инфраструктуры не удалось.
ETC_20151016_015683	Ошибка выполнения транзакции. Пожалуйста, обратитесь к следующей информации.
ETC_20151016_015684	Не могу найти спрайт данных.
ETC_20151016_015685	Не удалось сбросить мира Таблица.
ETC_20151016_015686	Не удалось сбросить предметного мира.
ETC_20151016_015687	Не удалось сбросить главного менеджера сектора.
ETC_20151016_015688	Координаты не действительны.
ETC_20151016_015689	Нет звуковых файлов. Задать Звуковые Команды.
ETC_20151016_015690	Скрипт пытался покинуть журналы неадекватно. Проверьте соответствующие строки из стека вызовов.
ETC_20151016_015691	Ты не смог подключиться из-за ошибки сокета.
ETC_20151016_015692	Ведь вам не удалось сбросить Монго дБ. Проверьте, есть ли соответствующая информация в мировой табели.
ETC_20151016_015693	Потребовалось много времени, чтобы выполнить sp_ies_master_set
ETC_20151016_015694	Коллекции не зарегистрирован в sp_server_logging_list. Пожалуйста, обращайтесь к БД команды или команды управления.
ETC_20151016_015695	Этот пакет не определен. Это будет рассматриваться как взлом пакетов.
ETC_20151016_015696	Фехтовальщик
ETC_20151016_015697	Драгунский
ETC_20151016_015698	Тамплиер
ETC_20151016_015699	Sage
ETC_20151016_015700	Чернокнижник
ETC_20151016_015701	Featherfoot
ETC_20151016_015702	Канонир
ETC_20151016_015703	Musketeer
ETC_20151016_015704	Чумной Доктор
ETC_20151016_015705	Каббалист
ETC_20151016_015706	Nutanta Перекрестке
ETC_20151016_015707	Isimity Площади
ETC_20151016_015708	Pakaba Пустыне
ETC_20151016_015709	Pamatas Pillar
ETC_20151016_015710	Дейлс Пустыре
ETC_20151016_015711	Liugas Подъездной Дороги
ETC_20151016_015712	Усас Хилл
ETC_20151016_015713	Hurauga Лагерь
ETC_20151016_015714	Majiva Могила Поле
ETC_20151016_015715	Рахова Кемпинг
ETC_20151016_015716	Hibi Перекрестке
ETC_20151016_015717	Kluibe Road
ETC_20151016_015718	Дремлют Пустыре
ETC_20151016_015719	Manahas Деревня
ETC_20151016_015720	Juikas Поле
ETC_20151016_015721	Augalu Сад
ETC_20151016_015722	Goanar Путь
ETC_20151016_015723	Vevaldy Серьезные
ETC_20151016_015724	Iboralul Скалы
ETC_20151016_015725	В хижине пилигрима
ETC_20151016_015726	Rimve Реки
ETC_20151016_015727	Pasra Поле
ETC_20151016_015728	Мост под обслуживание
ETC_20151016_015729	Baderam Хилл
ETC_20151016_015730	Камни с овви
ETC_20151016_015731	Святилище объекта без овви
ETC_20151016_015732	Дух Condenser2_1
ETC_20151016_015733	Дух Condenser2_2
ETC_20151016_015734	Мечник Submaster
ETC_20151016_015735	Peltasta Submaster
ETC_20151016_015736	Горец Submaster
ETC_20151016_015737	Гоплит Submaster
ETC_20151016_015738	Варвар Submaster
ETC_20151016_015739	Родельеро Submaster
ETC_20151016_015740	Cataphract Submaster
ETC_20151016_015741	Мастер Submaster
ETC_20151016_015742	Пиромантов Submaster
ETC_20151016_015743	Cryomancer Submaster
ETC_20151016_015744	Psychokino Submaster
ETC_20151016_015745	Компоновщик Submaster
ETC_20151016_015746	Тауматург Submaster
ETC_20151016_015747	Элементалисты Submaster
ETC_20151016_015748	Лучник Submaster
ETC_20151016_015749	Рейнджер Submaster
ETC_20151016_015750	Ссора Шутер Submaster
ETC_20151016_015751	Сапер Submaster
ETC_20151016_015752	Охотник Submaster
ETC_20151016_015753	Wugushi Submaster
ETC_20151016_015754	Разведчик Submaster
ETC_20151016_015755	Клирик Submaster
ETC_20151016_015756	Krivis Submaster
ETC_20151016_015757	Священник Submaster
ETC_20151016_015758	Бокор Submaster
ETC_20151016_015759	Dievdirbys Submaster
ETC_20151016_015760	Паладин Submaster
ETC_20151016_015761	Таинственное Дерево
ETC_20151016_015762	Большое Колесо Обозрения
ETC_20151016_015763	Тукан
ETC_20151016_015764	Морская Свинка
ETC_20151016_015765	Owl
ETC_20151016_015766	Хауберк соответствует рекомбинации
ETC_20151016_015767	Завершено Точкой Состояния Учебник
ETC_20151016_015768	Устроил костер и направлять поселенцев
ETC_20151016_015769	Вывести поселенцев
ETC_20151016_015770	Продвижение Помощником
ETC_20151016_015771	Найти таинственную девушку
ETC_20151016_015772	Расследовать таинственные саженцы
ETC_20151016_015773	Рекорд поведение хорьков
ETC_20151016_015774	Почему хорьков стал жестоким
ETC_20151016_015775	Почему хорьки нападают на людей
ETC_20151016_015776	Взаимоотношения между Хорьками и демоны
ETC_20151016_015777	Модифицированный блок древесины
ETC_20151016_015778	Наблюдать ответы хорьков
ETC_20151016_015779	Выгнать хорька
ETC_20151016_015780	Поражения демона Лорда Zaura
ETC_20151016_015781	Волшебная сила перегружен на Kruvina Подавитель
ETC_20151016_015782	Очистить злой энергии
ETC_20151016_015783	Вырастить цветок на земле
ETC_20151016_015784	Получить цветы из большой земли, которые полны vitalities
ETC_20151016_015785	Аманда рассказать об обстоятельствах
ETC_20151016_015786	Зарядите шар абсорбции с vitalities демонов
ETC_20151016_015787	Переведите дух и узнать местонахождение откровение
ETC_20151016_015788	Ищут место для установки скульптуры совы
ETC_20151016_015789	Руководство духа возле скульптура сова
ETC_20151016_015790	Искать компоненты для ремонта
ETC_20151016_015791	Ищите камни, которые являются достаточно большими, чтобы писать письма на них
ETC_20151016_015792	Искать следы сельчан с зоной
ETC_20151016_015793	Искать следы деревни из Б зона
ETC_20151016_015794	Искать следы деревни из C зоной
ETC_20151016_015795	Следуйте бусинки, которые упали на землю, чтобы отыскать ХХ жителя
ETC_20151016_015796	Найти следы здесь искать односельчанина 
ETC_20151016_015797	Восстановить утраченные объекты
ETC_20151016_015798	Используйте детектор, чтобы отыскать место, где товары купцов похоронены и вернуть их
ETC_20151016_015799	Задать значение надгробие Nestospa
ETC_20151016_015800	Спросить об ауре от могильной плите
ETC_20151016_015801	Скажите, что вы будете нести ответственность и еще раз принести свои извинения
ETC_20151016_015802	Опыта значение по умолчанию : равномерное распределение
ETC_20151016_015803	Рапира
ETC_20151016_015804	Рапира Shield
ETC_20151016_015805	Рапира Кинжал
ETC_20151016_015806	Рапира Суб
ETC_20151016_015807	Арбалет-Пушка
ETC_20151016_015808	Рецепт - Элементы
ETC_20151016_015809	Фехтовальщик Продвижения
ETC_20151016_015810	Драгунский Продвижения
ETC_20151016_015811	Тамплиер Продвижения
ETC_20151016_015812	Мудрец Продвижения
ETC_20151016_015813	Чернокнижник Продвижения
ETC_20151016_015814	Featherfoot Продвижения
ETC_20151016_015815	Канонир Продвижения
ETC_20151016_015816	Мушкетер Продвижения
ETC_20151016_015817	Чумной Доктор Продвижения
ETC_20151016_015818	Каббалист Продвижения
ETC_20151016_015819	По Классам
ETC_20151016_015820	По Весу
ETC_20151016_015821	По Цене
ETC_20151016_015822	По Имени
ETC_20151016_015823	Hidden Pillar
ETC_20151016_015824	Kedoran Купеческий Альянс Преимущества!
ETC_20151016_015825	Уже обнаружены
ETC_20151016_015826	Не будучи обнаруженным ну{ея}включить его снова
ETC_20151016_015827	Кажется, что он находится вне диапазона детектора{ея}двигаться в пределах диапазона, обозначенной на карте и активировать ее снова
ETC_20151016_015828	Вы раскопали то, что Юрате говорил!
ETC_20151016_015829	Правильные числа должны быть набраны в окне чата{ея}проверяем число на столбе снова
ETC_20151016_015830	Слушать важность надгробие Anastospa
ETC_20151016_015831	Слушайте историю аура, которая сияет от могильной плите
ETC_20151016_015832	Скажите, что вы будете нести ответственность и еще раз принести свои извинения
ETC_20151016_015833	Детектор обнаружил место, где что-то зарыто!
ETC_20151016_015834	Вы должны использовать ловушку в пределах отмеченной области
ETC_20151016_015835	Распространяя запах
ETC_20151016_015836	Копать под рассады
ETC_20151016_015837	Шар богини появились под сеянные игроки!
ETC_20151016_015838	Наблюдая
ETC_20151016_015839	Хорек был уже наблюдается.
ETC_20151016_015840	Трансформируется!{бл}теперь вы можете поговорить с хорьком
ETC_20151016_015841	Ранен Сельчанин
ETC_20151016_015842	Хорек напал на потерпевшего жителя!
ETC_20151016_015843	Хорек побежал прочь после нюхать ужасный запах!
ETC_20151016_015844	Нет хорьков вокруг
ETC_20151016_015845	Разрушая удерживающие устройства
ETC_20151016_015846	Той силой, которая была в ловушке в детском удерживающем устройстве вернулся к Лада
ETC_20151016_015847	Состояние устройства для поглощения vitalities странно!
ETC_20151016_015848	Волшебная сила перегружается
ETC_20151016_015849	Как вы использовали шар богини, глушителя был разрушен
ETC_20151016_015850	Вы не можете сконцентрироваться из-за монстров поблизости
ETC_20151016_015851	Очищающий злой энергии
ETC_20151016_015852	Ты очистил злую энергию
ETC_20151016_015853	Уничтожая демонические тотем
ETC_20151016_015854	Как ты разрушил демонический тотем, злая энергия начинает выходить
ETC_20151016_015855	Вы наблюдали поведение хорьков
ETC_20151016_015856	Выращивая семена
ETC_20151016_015857	Защитить семена до тех пор, пока цветы Великой земли росток
ETC_20151016_015858	Резать цветы из большой земли
ETC_20151016_015859	Вы получили цветы Великой земли, которые полны vitalities
ETC_20151016_015860	Наш дом... я наконец-то вернулся...
ETC_20151016_015861	Огромное спасибо...
ETC_20151016_015862	Вы не найдете ничего особенного от демонов.{бл}тебе лучше вернуться к Аманде
ETC_20151016_015863	Сбор яиц Rajatad
ETC_20151016_015864	Монстр выскочил!
ETC_20151016_015865	Вы получили яйца из Rajatad!
ETC_20151016_015866	Нет, пожалуйста, не делай этого!
ETC_20151016_015867	Он.. Нет!!
ETC_20151016_015868	Почему ты...
ETC_20151016_015869	Нецелесообразно писать что-то на нем
ETC_20151016_015870	Вы нашли адекватного камни!{бл}скажи Аманда об этом
ETC_20151016_015871	Оторвут вас адекватный компонент
ETC_20151016_015872	Вы внесли дух на площадку признаний,
ETC_20151016_015873	Теперь, скажите мне.
ETC_20151016_015874	Я никогда не скажу вам!
ETC_20151016_015875	Пожалуйста, не надо!
ETC_20151016_015876	Каково устройство, которое было уничтожено в результате Ruklys!
ETC_20151016_015877	Уговаривать вернуться к богине
ETC_20151016_015878	Я буду следовать за тобой.
ETC_20151016_015879	Нет полезных компонентов
ETC_20151016_015880	Уничтожив Демона Тотемы
ETC_20151016_015881	Отступление Заказ!
ETC_20151016_015882	Трубил в Рог заказать для отступления
ETC_20151016_015883	Проверка трассировки
ETC_20151016_015884	Роза
ETC_20151016_015885	Бусы больше не видно
ETC_20151016_015886	Монстры появились
ETC_20151016_015887	Вы не можете найти что-нибудь
ETC_20151016_015888	Есть люди
ETC_20151016_015889	Вы получили Braken травы
ETC_20151016_015890	Сбор Трав
ETC_20151016_015891	Материал товара временно заблокирован.
ETC_20151016_015892	Не удалось заблокировать элемент. Пожалуйста, попробуйте еще раз.
ETC_20151016_015893	Using
ETC_20151016_015894	В собственности
ETC_20151016_015895	Inesa Hamondale
ETC_20151016_015896	Guard
ETC_20151016_015897	Урбонас {ея}Оршанский епископ
ETC_20151016_015898	Солдатская могила
ETC_20151016_015899	Платформа признаний
ETC_20151016_015900	Первый камень в фундамент защитной магии поля
ETC_20151016_015901	Оборонительные ловушки на поле боя
ETC_20151016_015902	Braken Лес 63-1
ETC_20151016_015903	Braken Лес 63-3
ETC_20151016_015904	Braken Лес 42_1
ETC_20151016_015905	Braken Herbs
ETC_20151016_015906	Liaison Officer Mardas
ETC_20151016_015907	Сова Начальника Скульптура
ETC_20151016_015908	Karolis Алтарь
ETC_20151016_015909	Karolis' Свет
ETC_20151016_015910	Karolis Святилище
ETC_20151016_015911	Контроль Над Разумом Башня
ETC_20151016_015912	Free Dungeon
ETC_20151016_015913	Неполное Kruvina
ETC_20151016_015914	Энергия жизни
ETC_20151016_015915	По воздействию пламени бомб
ETC_20151016_015916	Золотой Столб
ETC_20151016_015917	Серебряный Столб
ETC_20151016_015918	Бронзовый Столп
ETC_20151016_015919	Офицер Lutas
ETC_20151016_015920	Поражение серого голема и панцирь!
ETC_20151022_015921	Желтый Colifly
ETC_20151022_015922	Зло Necroventer
ETC_20151022_015923	Lapemiter-это уникальное занятие, которое очень уважают, но тоже смотрели свысока среди Lapes. В Lapemiter обслуживает религиозную роль, но с другой Lapes не ставить большой акцент на религиозных ритуалах, так они хотят Lapemiter, чтобы сделать свою изнурительную повинность.
ETC_20151022_015924	В отличие от предрассудков людей, Lapezards не Lapes, что полученные их текущего состояния путем длительных тренировок. Большинство из них выбраны по их породы, и они растут, соответственно, и получить необходимые продукты питания, чтобы стать Lapezard.
ETC_20151022_015925	Их Статус Не высок среди Lapes, но они наиболее опасны и они встречаются часто. Чтобы получить уважение от других Lapes, они действуют жестоко с теми, с которыми они сталкиваются при.
ETC_20151022_015926	На лапе в Lapflammer, они просто должны получить оружие, которое им необходимо. Но его не так легко, поскольку, когда Lapflammers умереть, оружие тоже уничтожаются, поэтому его не так легко для Lapes.
ETC_20151022_015927	Хорек лучники обычно участвует в битвах, но они иногда сбивать плоды на высоких деревьях. Это не что иное хорьков попросил их сделать это, но они просто делают это для удовольствия, когда они не участвуют в боях.
ETC_20151022_015928	Они иногда перемещать объекты, но они обычно доля переработанных фруктов продукты для других хорьков. Неизвестно, будут ли они получать какие-либо вознаграждения за это или они обязаны это сделать.
ETC_20151022_015929	Они выглядят маленькими, но они повзрослели хорьков. Они иногда становятся другие хорьки в зависимости от свойств пород и среды, в которой они живут.
ETC_20151022_015930	Этот хорек не обладает каким-либо отличительных признаков. Но из-за долгого труда, они обладают сильной властью, поэтому не стоит их недооценивать.
ETC_20151022_015931	Хорек Пустой Портер
ETC_20151022_015932	Они делают работу, а также осуществляет руководство работами других хорьков.
ETC_20151022_015933	Этот хорек отвечает за поиски других врагов и полезных фруктов.
ETC_20151022_015934	Как Хорек лучников, они либо атаковать врагов или сбивать плоды. Одно преимущество у них над лучниками заключается в том, что они иногда используют жесткие фрукты, как пули.
ETC_20151022_015935	Хорек Питания Солдат
ETC_20151022_015936	Этот хорек имеет низший статус по сравнению с другими хорьками. Этот хорек помогает с работами других хорьков и они также принимают участие в сражениях.
ETC_20151022_015937	Не уверен, что Lapeman-это нежить в лапе. Однако Lapeman основном получает уважение со стороны других Lapes.
ETC_20151022_015938	Хорек Мародер
ETC_20151022_015939	Poculus
ETC_20151022_015940	Rafene
ETC_20151022_015941	Raxdon
ETC_20151022_015942	Pantorex
ETC_20151022_015943	Синий Вендиго Маг
ETC_20151022_015944	Синий Шаман Вендиго
ETC_20151022_015945	Белый Вендиго Лучник
ETC_20151022_015946	Вендиго Синий Лучник
ETC_20151022_015947	Белый Вендиго Поисковик
ETC_20151022_015948	Синий Вендиго Поисковик
ETC_20151022_015949	Зеленый Колбу
ETC_20151022_015950	Синяя Фляжка
ETC_20151022_015951	Зеленый Kepari
ETC_20151022_015952	Черный Kepari
ETC_20151022_015953	Черный Шаман Kepari
ETC_20151022_015954	Зеленый Kepari Шаман
ETC_20151022_015955	Синий Храм Раба Ассасин
ETC_20151022_015956	Синий Храм Раб
ETC_20151022_015957	Синий Храм Рабом Мага
ETC_20151022_015958	Красный Infro Держатель
ETC_20151022_015959	Зеленый Infro Держатель
ETC_20151022_015960	Красный Infro Держатель Лучник
ETC_20151022_015961	Зеленый Infro Держатель Шаман
ETC_20151022_015962	Красный Lepusbunny
ETC_20151022_015963	Зеленый Lepusbunny
ETC_20151022_015964	Синий Lepusbunny
ETC_20151022_015965	Зеленый Lepusbunny Маг
ETC_20151022_015966	Красный Lepusbunny Ассасин
ETC_20151022_015967	Зеленый Lepusbunny Ассасин
ETC_20151022_015968	Синий Lepusbunny Ассасин
ETC_20151022_015969	Красный Мертворожденные Спдк
ETC_20151022_015970	Красный Мертворожденные Спдк Маг
ETC_20151022_015971	Синий Siaulav
ETC_20151022_015972	Зеленый Siaulav
ETC_20151022_015973	Синий Маг Siaulav
ETC_20151022_015974	Синий Лучник Siaulav
ETC_20151022_015975	Оранжевый Siaulav Лучник
ETC_20151022_015976	Голубые Крошечные
ETC_20151022_015977	Крошечные Коричневые
ETC_20151022_015978	Коричневые Крошечные Волшебницы
ETC_20151022_015979	Зеленые Крошечные Волшебницы
ETC_20151022_015980	Крошечный Синий Лучник
ETC_20151022_015981	Крошечный Зеленый Лучник
ETC_20151022_015982	Белый Spion
ETC_20151022_015983	Красный Spion
ETC_20151022_015984	Синий Spion
ETC_20151022_015985	Красный Арчер Spion
ETC_20151022_015986	Spion Синий Лучник
ETC_20151022_015987	Spion Синий Маг
ETC_20151022_015988	Белый Маг Spion
ETC_20151022_015989	Серый Stoulet
ETC_20151022_015990	Зеленый Stoulet
ETC_20151022_015991	Синий Маг Stoulet
ETC_20151022_015992	Зеленый Stoulet Маг
ETC_20151022_015993	Коричневый Stoulet Лучник
ETC_20151022_015994	Оранжевый Миноса
ETC_20151022_015995	Зеленый Миноса
ETC_20151022_015996	Зеленый Миноса Маг
ETC_20151022_015997	Оранжевый Minos Лучник
ETC_20151022_015998	Минос Зеленый Лучник
ETC_20151022_015999	Синий Сокет
ETC_20151022_016000	Зеленое Гнездо
ETC_20151022_016001	Красный Сокет
ETC_20151022_016002	Синий Маг Розетка
ETC_20151022_016003	Зеленый Маг Розетка
ETC_20151022_016004	Красный Маг Розетка
ETC_20151022_016005	Синий Сокет Лучник
ETC_20151022_016006	Красный Сокет Лучник
ETC_20151022_016007	Черный Маг Colifly
ETC_20151022_016008	Черный Лучник Colifly
ETC_20151022_016009	Зеленый Saltisdaughter
ETC_20151022_016010	Красный Saltisdaughter
ETC_20151022_016011	Зеленый Лучник Saltisdaughter
ETC_20151022_016012	Красный Маг Saltisdaughter
ETC_20151022_016013	Красная Заря-Девица
ETC_20151022_016014	Красная Тьма Девичья
ETC_20151022_016015	Синий Lapasape
ETC_20151022_016016	Коричневый Lapasape
ETC_20151022_016017	Синий Маг Lapasape
ETC_20151022_016018	Коричневый Lapasape Маг
ETC_20151022_016019	Синий Lapasape Шаман
ETC_20151022_016020	Коричневый Lapasape Шаман
ETC_20151022_016021	Синий Colimen
ETC_20151022_016022	Коричневый Colimen
ETC_20151022_016023	Коричневый Colimen Маг
ETC_20151022_016024	Терра Синий Имп
ETC_20151022_016025	Синий Терра Имп Маг
ETC_20151022_016026	Коричневый Терра Имп Лучник
ETC_20151022_016027	Синий Cronewt
ETC_20151022_016028	Синий Cronewt Отравлен Игольник
ETC_20151022_016029	Синий Маг Cronewt
ETC_20151022_016030	Синий Ticen
ETC_20151022_016031	Красный Ticen
ETC_20151022_016032	Синий Ticen Арбалет Солдата
ETC_20151022_016033	Красный Ticen Арбалет Солдата
ETC_20151022_016034	Синий Маг Ticen
ETC_20151022_016035	Красный Маг Ticen
ETC_20151022_016036	Синий Chafperor
ETC_20151022_016037	Синий Маг Chafperor
ETC_20151022_016038	Коричневый Rambear
ETC_20151022_016039	Коричневый Rambear Лучник
ETC_20151022_016040	Коричневый Rambear Маг
ETC_20151022_016041	Blue Высокими Mane
ETC_20151022_016042	Браун Высоких Mane
ETC_20151022_016043	Blue Высокими Рыцарь
ETC_20151022_016044	Браун Высокий Рыцарь
ETC_20151022_016045	Blue Высокими Barkle
ETC_20151022_016046	Green Высокой Barkle
ETC_20151022_016047	Blue Высокими Mage
ETC_20151022_016048	Red Высокий Маг
ETC_20151022_016049	Red Высокий Захват Шаров И Размещение
ETC_20151022_016050	Green Высокой Захват Шаров И Размещение
ETC_20151022_016051	Blue Высокими Гулак
ETC_20151022_016052	Красный Хоэн Гулак
ETC_20151022_016053	Синий Harugal
ETC_20151022_016054	Коричневый Harugal
ETC_20151022_016055	Синий Елет
ETC_20151022_016056	Красный Елет
ETC_20151022_016057	Синий Нуо
ETC_20151022_016058	Красный Нуо
ETC_20151022_016059	Синий Нуки
ETC_20151022_016060	Коричневый Нуки
ETC_20151022_016061	Синий Элма
ETC_20151022_016062	Красный Элма
ETC_20151022_016063	Синий Хранитель Паука
ETC_20151022_016064	Красный Хранитель Паука
ETC_20151022_016065	Синий Dumaro
ETC_20151022_016066	Желтый Dumaro
ETC_20151022_016067	Синий Вендиго
ETC_20151022_016068	Белый Вендиго
ETC_20151022_016069	Коричневый Вендиго
ETC_20151022_016070	Меч Пелл Мастер
ETC_20151022_016071	Коричневый Терра Имп
ETC_20151022_016072	Лапа Лучник
ETC_20151022_016073	Gosaru
ETC_20151022_016074	Попугай
ETC_20151022_016075	Polibu
ETC_20151022_016076	Ponpon
ETC_20151022_016077	Canchobird
ETC_20151022_016078	Zeraha
ETC_20151022_016079	Нет! Кто-то идет!
ETC_20151022_016080	Мы закончили.
ETC_20151022_016081	Коко!
ETC_20151022_016082	Почему ты так себя ведешь, Коко??
ETC_20151022_016083	Коко, вернись!
ETC_20151022_016084	Таинственный Маг
ETC_20151022_016085	Нашел тот, кто квалифицирован.
ETC_20151022_016086	Я пойду первым, вы, ребята, отведите ее в монастырь.
ETC_20151022_016087	А-кто-нибудь, пожалуйста, спасите меня...
ETC_20151022_016088	К сожалению... все они будут принесены в жертву Божественной воды.
ETC_20151022_016089	Мы должны, по крайней мере блок, который...
ETC_20151022_016090	Тогда наши крестьяне...
ETC_20151022_016091	Я видел это своими собственными глазами, когда убегала от монстра. Что демоны делали.
ETC_20151022_016092	Я помогу тоже!
ETC_20151022_016093	Избежать слежки сфера, которая циркулирует вокруг слежки кристалл,{ея}и снять магический круг, который управляет наблюдения через Хрустальный!
ETC_20151022_016094	Мониторинг Crystal
ETC_20151022_016095	Мониторинг Crystal Magic Circle
ETC_20151022_016096	Демоны, которые несут гигантский топор
ETC_20151022_016097	Двигаться быстро. Так лень!
ETC_20151022_016098	Помогите!!
ETC_20151022_016099	Хорьки! Хорьки появились возле деревни!
ETC_20151022_016100	Ты, никчемный человек!!
ETC_20151022_016101	Убежать! Zaura скоро придет!
ETC_20151022_016102	Смотрящего исчезли после приема неполного Kruvina!{бл}поражение пробужденный Zaura!
ETC_20151022_016103	Пробужденный Демон Господа Zaura
ETC_20151022_016104	Демон с гигантским топором исчез с девушкой!{бл}поражение хорьков, которые спешат в!
ETC_20151022_016105	Блин! Эй, помоги мне!
ETC_20151022_016106	Kwaaak!!!
ETC_20151022_016107	What? They again!
ETC_20151022_016108	Что это?...
ETC_20151022_016109	... Мое тело!
ETC_20151022_016110	Что это было??
ETC_20151022_016111	Clymen появился, чтобы защитить Проклятие тотема!
ETC_20151022_016112	Проклятие Тотема
ETC_20151022_016113	Победить Хозяина Огня!
ETC_20151022_016114	Убить Богослов!
ETC_20151022_016115	Denoptic появился, как вы пытались снять наблюдение тотем!
ETC_20151022_016116	Мониторинг Тотем
ETC_20151022_016117	Спасти Священника Пранас!
ETC_20151022_016118	Поражение серого голема, который внезапно появился!
ETC_20151022_016119	Заброшенные Мешок
